Timestamp,Month,Season,Station_ID,Station_Name,Lat,Lon,Dist_from_Source_km,Decay_Factor,Turbidity_NTU
2025-09-15T00:00:00,Sept,Monsoon,KR-01,Amaravati_Upstream,16.573,80.356,29.862,0.0917,5
2025-09-15T04:00:00,Sept,Monsoon,KR-01,Amaravati_Upstream,16.573,80.356,29.862,0.0917,5
2025-09-15T08:00:00,Sept,Monsoon,KR-01,Amaravati_Upstream,16.573,80.356,29.862,0.0917,5
2025-09-15T12:00:00,Sept,Monsoon,KR-01,Amaravati_Upstream,16.573,80.356,29.862,0.0917,89.52
2025-09-15T16:00:00,Sept,Monsoon,KR-01,Amaravati_Upstream,16.573,80.356,29.862,0.0917,5
2025-09-15T20:00:00,Sept,Monsoon,KR-01,Amaravati_Upstream,16.573,80.356,29.862,0.0917,29.23
2025-09-15T00:00:00,Sept,Monsoon,KR-02,Industrial_Zone,16.5193,80.6305,0.0,1.0,193.1
2025-09-15T04:00:00,Sept,Monsoon,KR-02,Industrial_Zone,16.5193,80.6305,0.0,1.0,249.69
2025-09-15T08:00:00,Sept,Monsoon,KR-02,Industrial_Zone,16.5193,80.6305,0.0,1.0,372.72
2025-09-15T12:00:00,Sept,Monsoon,KR-02,Industrial_Zone,16.5193,80.6305,0.0,1.0,320.72
2025-09-15T16:00:00,Sept,Monsoon,KR-02,Industrial_Zone,16.5193,80.6305,0.0,1.0,372.06
2025-09-15T20:00:00,Sept,Monsoon,KR-02,Industrial_Zone,16.5193,80.6305,0.0,1.0,94.23
2025-09-15T00:00:00,Sept,Monsoon,KR-03,Vijayawada_Mid,16.51,80.62,1.524,0.8852,184.79
2025-09-15T04:00:00,Sept,Monsoon,KR-03,Vijayawada_Mid,16.51,80.62,1.524,0.8852,143.29
2025-09-15T08:00:00,Sept,Monsoon,KR-03,Vijayawada_Mid,16.51,80.62,1.524,0.8852,190.79
2025-09-15T12:00:00,Sept,Monsoon,KR-03,Vijayawada_Mid,16.51,80.62,1.524,0.8852,224.08
2025-09-15T16:00:00,Sept,Monsoon,KR-03,Vijayawada_Mid,16.51,80.62,1.524,0.8852,69.03
2025-09-15T20:00:00,Sept,Monsoon,KR-03,Vijayawada_Mid,16.51,80.62,1.524,0.8852,317.32
2025-09-15T00:00:00,Sept,Monsoon,KR-04,Gannavaram_Downstream,16.543,80.798,18.049,0.236,44.69
2025-09-15T04:00:00,Sept,Monsoon,KR-04,Gannavaram_Downstream,16.543,80.798,18.049,0.236,12.02
2025-09-15T08:00:00,Sept,Monsoon,KR-04,Gannavaram_Downstream,16.543,80.798,18.049,0.236,19.89
2025-09-15T12:00:00,Sept,Monsoon,KR-04,Gannavaram_Downstream,16.543,80.798,18.049,0.236,32.06
2025-09-15T16:00:00,Sept,Monsoon,KR-04,Gannavaram_Downstream,16.543,80.798,18.049,0.236,5
2025-09-15T20:00:00,Sept,Monsoon,KR-04,Gannavaram_Downstream,16.543,80.798,18.049,0.236,37.01
2025-09-15T00:00:00,Sept,Monsoon,KR-05,Krishna_Delta_Entry,16.12,81.08,65.363,0.0054,18.54
2025-09-15T04:00:00,Sept,Monsoon,KR-05,Krishna_Delta_Entry,16.12,81.08,65.363,0.0054,5
2025-09-15T08:00:00,Sept,Monsoon,KR-05,Krishna_Delta_Entry,16.12,81.08,65.363,0.0054,5
2025-09-15T12:00:00,Sept,Monsoon,KR-05,Krishna_Delta_Entry,16.12,81.08,65.363,0.0054,5
2025-09-15T16:00:00,Sept,Monsoon,KR-05,Krishna_Delta_Entry,16.12,81.08,65.363,0.0054,5
2025-09-15T20:00:00,Sept,Monsoon,KR-05,Krishna_Delta_Entry,16.12,81.08,65.363,0.0054,61.65
