Timestamp,Month,Season,Station_ID,Station_Name,Lat,Lon,Dist_from_Source_km,Decay_Factor,Turbidity_NTU
2025-04-15T00:00:00,April,Summer,KR-01,Amaravati_Upstream,16.573,80.356,29.862,0.0917,72.03
2025-04-15T04:00:00,April,Summer,KR-01,Amaravati_Upstream,16.573,80.356,29.862,0.0917,46.76
2025-04-15T08:00:00,April,Summer,KR-01,Amaravati_Upstream,16.573,80.356,29.862,0.0917,49.64
2025-04-15T12:00:00,April,Summer,KR-01,Amaravati_Upstream,16.573,80.356,29.862,0.0917,11.52
2025-04-15T16:00:00,April,Summer,KR-01,Amaravati_Upstream,16.573,80.356,29.862,0.0917,62.52
2025-04-15T20:00:00,April,Summer,KR-01,Amaravati_Upstream,16.573,80.356,29.862,0.0917,57.19
2025-04-15T00:00:00,April,Summer,KR-02,Industrial_Zone,16.5193,80.6305,0.0,1.0,417.48
2025-04-15T04:00:00,April,Summer,KR-02,Industrial_Zone,16.5193,80.6305,0.0,1.0,638.6
2025-04-15T08:00:00,April,Summer,KR-02,Industrial_Zone,16.5193,80.6305,0.0,1.0,465.05
2025-04-15T12:00:00,April,Summer,KR-02,Industrial_Zone,16.5193,80.6305,0.0,1.0,388.07
2025-04-15T16:00:00,April,Summer,KR-02,Industrial_Zone,16.5193,80.6305,0.0,1.0,717.95
2025-04-15T20:00:00,April,Summer,KR-02,Industrial_Zone,16.5193,80.6305,0.0,1.0,449.23
2025-04-15T00:00:00,April,Summer,KR-03,Vijayawada_Mid,16.51,80.62,1.524,0.8852,689.6
2025-04-15T04:00:00,April,Summer,KR-03,Vijayawada_Mid,16.51,80.62,1.524,0.8852,394.0
2025-04-15T08:00:00,April,Summer,KR-03,Vijayawada_Mid,16.51,80.62,1.524,0.8852,632.54
2025-04-15T12:00:00,April,Summer,KR-03,Vijayawada_Mid,16.51,80.62,1.524,0.8852,595.97
2025-04-15T16:00:00,April,Summer,KR-03,Vijayawada_Mid,16.51,80.62,1.524,0.8852,558.38
2025-04-15T20:00:00,April,Summer,KR-03,Vijayawada_Mid,16.51,80.62,1.524,0.8852,547.1
2025-04-15T00:00:00,April,Summer,KR-04,Gannavaram_Downstream,16.543,80.798,18.049,0.236,150.76
2025-04-15T04:00:00,April,Summer,KR-04,Gannavaram_Downstream,16.543,80.798,18.049,0.236,128.68
2025-04-15T08:00:00,April,Summer,KR-04,Gannavaram_Downstream,16.543,80.798,18.049,0.236,171.26
2025-04-15T12:00:00,April,Summer,KR-04,Gannavaram_Downstream,16.543,80.798,18.049,0.236,124.78
2025-04-15T16:00:00,April,Summer,KR-04,Gannavaram_Downstream,16.543,80.798,18.049,0.236,102.68
2025-04-15T20:00:00,April,Summer,KR-04,Gannavaram_Downstream,16.543,80.798,18.049,0.236,127.53
2025-04-15T00:00:00,April,Summer,KR-05,Krishna_Delta_Entry,16.12,81.08,65.363,0.0054,5
2025-04-15T04:00:00,April,Summer,KR-05,Krishna_Delta_Entry,16.12,81.08,65.363,0.0054,13.42
2025-04-15T08:00:00,April,Summer,KR-05,Krishna_Delta_Entry,16.12,81.08,65.363,0.0054,22.7
2025-04-15T12:00:00,April,Summer,KR-05,Krishna_Delta_Entry,16.12,81.08,65.363,0.0054,5
2025-04-15T16:00:00,April,Summer,KR-05,Krishna_Delta_Entry,16.12,81.08,65.363,0.0054,5
2025-04-15T20:00:00,April,Summer,KR-05,Krishna_Delta_Entry,16.12,81.08,65.363,0.0054,5
